"CODI","DENOMINACIÓ GENÈRICA","NOM","CORREU ELECTRÒNIC 1","CORREU ELECTRÒNIC 2","PÀGINA WEB","TITULAR","NIF","LOCALITAT","MUNICIPI","ADREÇA","CP","ILLA","TELEF1"
"07509017","AMEIB","ARXIU I MUSEU DE L'EDUCACIÓ DE LES ILLES BALEARS","ameib@dgpice.caib.es","","","COMUNITAT AUTONOMA ILLES BALEARS_CONSELLERIA D EDUCACIO","S0700113D","INCA","INCA","C/ MESTRE TORRRANDELL, NÚM. 59","07300","MALLORCA","971504279"
"07013085","C","COL·LEGI COOPERATIVA SON VERÍ NOU","direccion@colegiosonverinou.com","","www.colegiosonverinou.com","SOCIETAT COOPERATIVA COL LEGI SON VERI NOU","F82804733","SON VERÍ NOU","LLUCMAJOR","C/ FICUS, 2","07609","MALLORCA","971491646"
"07007735","C","COL·LEGI FRANCESC DE BORJA MOLL","direccion@colegioborjamoll.net","tomas@colegioborjamoll.net, bernat@colegioborjamoll.net","http://www.colegioborjamoll.net","ABC D'EDUCACIO SL","B57222838","S'ARENAL","PALMA","PASSEIG TAMARELLS, S/N","07600","MALLORCA","971491252"
"07003638","C","COL·LEGI LUIS VIVES","informacio@colegioluisvives.es","","http://www.colegio-luis-vives.es","CELVISA S A (CENTRO ESCOLAR LUIS VIVES SA)","A07050933","PALMA","PALMA","C/ SANT JOAN DE LA SALLE, 5/ CAN DOMENGE, NÚM. 1/ JORDI VILLALONGA I VELASCO, NÚM. 8","07003","MALLORCA","971290150"
"07008776","C","COL·LEGI MESTRAL","secretaria@colegio-mestral.com","director@colegio-mestral.com","www.colegio-mestral.com","CENTRO DE FORMACIÓN MESTRAL S L","B57093916","EIVISSA","EIVISSA","C/ AUBARCA, S/N (CAN MISSES)","07800","EIVISSA","971194576"
"07002828","C","COL·LEGI SAN CAYETANO","csc@colegiosancayetano.com","","http://www.colegiosancayetano.com","ORDEN DE CLÉRIGOS REGULARES_PADRES TEATINOS","Q3100105J","PALMA","PALMA","AV. PICASSO, 21","07014","MALLORCA","971220575"
"07015941","C","ECOLEA COLEGIO INTERNACIONAL MALLORCA","info@dieakademie.com","olsen@seminarcenter.de","","ECOLEA INTERNATIONALE SCHULE MALLORCA, SLU","b57773939","SA PLANERA","MARRATXÍ","C/ DE SA PLANERA, NÚM. 6","07141","MALLORCA",""
"07015689","C","ESCOLA ARIMUNANI","info@arimunani.com","","http://arimunani.com/","ARIMUNANI S L","B57825036","URBANITZACIÓ SON DAVIU NOU (PAR. 520,521,522)","MARRATXÍ","C/ DE LA FARIGOLA, 8-6-4, CAMÍ DE SON SALES","07141","MALLORCA","673966289"
"07015690","C","ESCOLA SA LLAVOR","fundacio@sallavor.es","escoltar@sallavor.es","http://www.sallavor.es/escola/?lang=ca","FUNDACIO SA LLAVOR","G57818759","BINISSALEM","BINISSALEM","PLAÇA DEL METGE BORRÀS, 3","07350","MALLORCA","871049194"
"07015291","C","NAU ESCOLA","nauescola@gmail.com","","https://www.nauescola.com/","NAUTES SOCIETAT D ENSENYAMENT S L","B57819302","POLIGON DE CAN VALERO","PALMA","C/ JOSEP ANTONI CABANYES, NÚM. 8","07011","MALLORCA","971253983"
"07001216","C_CCEI","VIRGEN MILAGROSA","ceivmformentera@gmail.com","direccion@virgenmilagrosa.org, info@virgenmilagrosa.org .","","FUNDACIO DIOCESANA ISIDORO MACABICH","G07786981","SANT FRANCESC","FORMENTERA","PLAÇA DE L'ESGLÉSIA, 14","07860","FORMENTERA","971322059"
"07013656","C_CIEEM","COL·LEGI ÀGORA PORTALS_CENTRE INTEGRAT DE MÚSICA","info@agoraportals.edu.es","","www.agoraportals.edu.es","CENTRO EDUCATIVO AGORA PORTALS S L","B85194835","PORTALS NOUS","CALVIÀ","CTRA. VELLA D'ANDRATX, S/N","07181","MALLORCA","971684042"
"07500191","CA","CAMP D APRENENTATGE CIENTIFICOMATEMÀTIC","cacenmat@educaib.eu","info@centmat.xeix.org","","COMUNITAT AUTONOMA ILLES BALEARS_CONSELLERIA D EDUCACIO","S0700083I","PALMA","PALMA","C/ SALVÀ, NUM. 14","07002","MALLORCA","971739290"
"07500361","CA","CAMP D APRENENTATGE DE BINIFALDÓ","cabinifaldo@educaib.eu","cabinifaldo@gmail.com","","COMUNITAT AUTONOMA ILLES BALEARS_CONSELLERIA D EDUCACIO","S0700102G","MENUT- ESCORCA","ESCORCA","REFUGI LES CASES DE BINIFALDÓ","07315","MALLORCA","971427212"
"07500178","CA","CAMP D APRENENTATGE DE FORMENTERA","caformentera@educaibcaib.eu","caformentera@gmail.com","http://campsdaprenentatgeib.org/","COMUNITAT AUTONOMA ILLES BALEARS_CONSELLERIA D EDUCACIO","S0700085D","SANT FRANCESC","FORMENTERA","AVDA. PORTO SALÉ, 87","07860","FORMENTERA","971323050"
"07500142","CA","CAMP D APRENENTATGE DES PALMER","caespalmer@educaib.eu","","","COMUNITAT AUTONOMA ILLES BALEARS_CONSELLERIA D EDUCACIO","S0718187H","CAMPOS","CAMPOS","CTRA. DE LA COLONIA DE SANT JORDI, KM. 5.4","07630","MALLORCA","971429380"
"07500120","CA","CAMP D APRENENTATGE ES PINARET","caespinaret@educaib.eu","","http://caespinaret.blogspot.com","COMUNITAT AUTONOMA ILLES BALEARS_CONSELLERIA D EDUCACIO","S5700003F","CIUTADELLA DE MENORCA","CIUTADELLA","CTRA. DE SANTANDRIA, KM. 1,7","07769","MENORCA","971481702"
"07500181","CA","CAMP D APRENENTATGE FAR DE CAVALLERIA","cafardecavalleria@educaib.eu","cafardecavalleria@gmail.com","http://www.campsdaprenentatgeib.cat/cavalleria/inicifar.html","COMUNITAT AUTONOMA ILLES BALEARS_CONSELLERIA D EDUCACIO","G57616500","ES MERCADAL","ES MERCADAL","PLAÇA DE CAVALLERIA (APARTAT CORREUS 51)","07748","MENORCA","669186477"
